Classifier,Class,Precision,Recall,F1-Score,Dice,IoU,Support,Accuracy,Training_Time
KNN (K=7),DeerAntelope,0.2761904761904762,0.48333333333333334,0.3515151515151515,0.3515151515151515,0.21323529411764705,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Desert,0.20833333333333334,0.08333333333333333,0.11904761904761904,0.11904761904761904,0.06329113924050633,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Dog,0.35294117647058826,0.3,0.32432432432432434,0.32432432432432434,0.1935483870967742,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Doors,0.819672131147541,0.8333333333333334,0.8264462809917356,0.8264462809917356,0.704225352112676,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Eagle,0.46511627906976744,0.6666666666666666,0.547945205479452,0.547945205479452,0.37735849056603776,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Elephant,0.45714285714285713,0.5333333333333333,0.49230769230769234,0.49230769230769234,0.32653061224489793,60,0.5946666666666667,0.22016620635986328
KNN (K=7),F1,0.7258064516129032,0.75,0.7377049180327869,0.7377049180327869,0.5844155844155844,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Feasts,0.5526315789473685,0.7,0.6176470588235294,0.6176470588235294,0.44680851063829785,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Flower,0.6341463414634146,0.43333333333333335,0.5148514851485149,0.5148514851485149,0.3466666666666667,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Grass,0.4125,0.55,0.4714285714285714,0.4714285714285714,0.308411214953271,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Group,0.4880952380952381,0.6833333333333333,0.5694444444444444,0.5694444444444444,0.39805825242718446,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Indoor,0.6329113924050633,0.8333333333333334,0.7194244604316546,0.7194244604316546,0.5617977528089888,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Lion,0.4,0.6333333333333333,0.49032258064516127,0.49032258064516127,0.3247863247863248,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Masks,0.6615384615384615,0.7166666666666667,0.688,0.688,0.524390243902439,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Model,0.6538461538461539,0.2833333333333333,0.3953488372093023,0.3953488372093023,0.2463768115942029,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Mountain,0.37735849056603776,0.3333333333333333,0.35398230088495575,0.35398230088495575,0.21505376344086022,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Owls,0.6197183098591549,0.7333333333333333,0.6717557251908397,0.6717557251908397,0.5057471264367817,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Penguin,0.88,0.36666666666666664,0.5176470588235295,0.5176470588235295,0.3492063492063492,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Plane,0.6,0.5,0.5454545454545454,0.5454545454545454,0.375,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Planet,0.819672131147541,0.8333333333333334,0.8264462809917356,0.8264462809917356,0.704225352112676,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Pumpkin,0.7931034482758621,0.38333333333333336,0.5168539325842697,0.5168539325842697,0.3484848484848485,60,0.5946666666666667,0.22016620635986328
KNN (K=7),RacingMotor,0.696969696969697,0.38333333333333336,0.4946236559139785,0.4946236559139785,0.32857142857142857,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Satelliteimage,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7647058823529411,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Sculpt,0.6923076923076923,0.15,0.2465753424657534,0.2465753424657534,0.140625,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Ship,0.4731182795698925,0.7333333333333333,0.5751633986928104,0.5751633986928104,0.4036697247706422,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Sky,0.8571428571428571,0.7,0.7706422018348624,0.7706422018348624,0.6268656716417911,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Soccer,0.6428571428571429,0.75,0.6923076923076923,0.6923076923076923,0.5294117647058824,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Stalactite,0.6938775510204082,0.5666666666666667,0.6238532110091743,0.6238532110091743,0.4533333333333333,60,0.5946666666666667,0.22016620635986328
KNN (K=7),SubSea,0.7727272727272727,0.2833333333333333,0.4146341463414634,0.4146341463414634,0.26153846153846155,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Sunflower,0.8,0.6,0.6857142857142857,0.6857142857142857,0.5217391304347826,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Sunset,0.8936170212765957,0.7,0.7850467289719626,0.7850467289719626,0.6461538461538462,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Surfs,0.6666666666666666,0.4,0.5,0.5,0.3333333333333333,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Tennis,0.7924528301886793,0.7,0.7433628318584071,0.7433628318584071,0.5915492957746479,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Tiger,0.4878048780487805,0.3333333333333333,0.39603960396039606,0.39603960396039606,0.24691358024691357,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Volleyball,0.88,0.7333333333333333,0.8,0.8,0.6666666666666666,60,0.5946666666666667,0.22016620635986328
KNN (K=7),Waterfall,0.8125,0.43333333333333335,0.5652173913043478,0.5652173913043478,0.3939393939393939,60,0.5946666666666667,0.22016620635986328
SVM (RBF),AncestorDinoArt,0.967741935483871,1.0,0.9836065573770492,0.9836065573770492,0.967741935483871,60,0.7466666666666667,14.384788990020752
SVM (RBF),Archit,0.45454545454545453,0.4166666666666667,0.43478260869565216,0.43478260869565216,0.2777777777777778,60,0.7466666666666667,14.384788990020752
SVM (RBF),BWimage,0.967741935483871,1.0,0.9836065573770492,0.9836065573770492,0.967741935483871,60,0.7466666666666667,14.384788990020752
SVM (RBF),Baseball,0.7704918032786885,0.7833333333333333,0.7768595041322314,0.7768595041322314,0.6351351351351351,60,0.7466666666666667,14.384788990020752
SVM (RBF),Basketball,0.9444444444444444,0.85,0.8947368421052632,0.8947368421052632,0.8095238095238095,60,0.7466666666666667,14.384788990020752
SVM (RBF),Beach,0.6323529411764706,0.7166666666666667,0.671875,0.671875,0.5058823529411764,60,0.7466666666666667,14.384788990020752
SVM (RBF),Billiardsball,0.8852459016393442,0.9,0.8925619834710744,0.8925619834710744,0.8059701492537313,60,0.7466666666666667,14.384788990020752
SVM (RBF),Bus,0.8253968253968254,0.8666666666666667,0.8455284552845529,0.8455284552845529,0.7323943661971831,60,0.7466666666666667,14.384788990020752
SVM (RBF),Car,0.803921568627451,0.6833333333333333,0.7387387387387387,0.7387387387387387,0.5857142857142857,60,0.7466666666666667,14.384788990020752
SVM (RBF),Cartoon,0.8285714285714286,0.9666666666666667,0.8923076923076924,0.8923076923076924,0.8055555555555556,60,0.7466666666666667,14.384788990020752
SVM (RBF),Castle,0.4918032786885246,0.5,0.49586776859504134,0.49586776859504134,0.32967032967032966,60,0.7466666666666667,14.384788990020752
SVM (RBF),Citynight,0.7222222222222222,0.65,0.6842105263157895,0.6842105263157895,0.52,60,0.7466666666666667,14.384788990020752
SVM (RBF),ClassicalPainting,0.676056338028169,0.8,0.732824427480916,0.732824427480916,0.5783132530120482,60,0.7466666666666667,14.384788990020752
SVM (RBF),Cropcycle,0.9491525423728814,0.9333333333333333,0.9411764705882353,0.9411764705882353,0.8888888888888888,60,0.7466666666666667,14.384788990020752
SVM (RBF),DeerAntelope,0.5714285714285714,0.6666666666666666,0.6153846153846154,0.6153846153846154,0.4444444444444444,60,0.7466666666666667,14.384788990020752
SVM (RBF),Desert,0.7,0.4666666666666667,0.56,0.56,0.3888888888888889,60,0.7466666666666667,14.384788990020752
SVM (RBF),Dog,0.6153846153846154,0.6666666666666666,0.64,0.64,0.47058823529411764,60,0.7466666666666667,14.384788990020752
SVM (RBF),Doors,0.8769230769230769,0.95,0.912,0.912,0.8382352941176471,60,0.7466666666666667,14.384788990020752
SVM (RBF),Eagle,0.6911764705882353,0.7833333333333333,0.734375,0.734375,0.5802469135802469,60,0.7466666666666667,14.384788990020752
SVM (RBF),Elephant,0.7758620689655172,0.75,0.7627118644067796,0.7627118644067796,0.6164383561643836,60,0.7466666666666667,14.384788990020752
SVM (RBF),F1,0.8709677419354839,0.9,0.8852459016393442,0.8852459016393442,0.7941176470588235,60,0.7466666666666667,14.384788990020752
SVM (RBF),Feasts,0.7796610169491526,0.7666666666666667,0.773109243697479,0.773109243697479,0.6301369863013698,60,0.7466666666666667,14.384788990020752
SVM (RBF),Flower,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.5189873417721519,60,0.7466666666666667,14.384788990020752
SVM (RBF),Grass,0.7017543859649122,0.6666666666666666,0.6837606837606838,0.6837606837606838,0.5194805194805194,60,0.7466666666666667,14.384788990020752
SVM (RBF),Group,0.6,0.65,0.624,0.624,0.45348837209302323,60,0.7466666666666667,14.384788990020752
SVM (RBF),Indoor,0.847457627118644,0.8333333333333334,0.8403361344537815,0.8403361344537815,0.7246376811594203,60,0.7466666666666667,14.384788990020752
SVM (RBF),Lion,0.6,0.6,0.6,0.6,0.42857142857142855,60,0.7466666666666667,14.384788990020752
SVM (RBF),Masks,0.7936507936507936,0.8333333333333334,0.8130081300813008,0.8130081300813008,0.684931506849315,60,0.7466666666666667,14.384788990020752
SVM (RBF),Model,0.6140350877192983,0.5833333333333334,0.5982905982905983,0.5982905982905983,0.4268292682926829,60,0.7466666666666667,14.384788990020752
SVM (RBF),Mountain,0.5,0.6166666666666667,0.5522388059701493,0.5522388059701493,0.38144329896907214,60,0.7466666666666667,14.384788990020752
